time	V(timing)	V(n005)
9.493592688211275e-03	0.000000e+00	9.163077e-02
9.585668581068421e-03	0.000000e+00	8.373425e-02
9.677744473925567e-03	0.000000e+00	7.640421e-02
9.769820366782714e-03	0.000000e+00	6.964064e-02
9.861896259639860e-03	0.000000e+00	6.344355e-02
9.953972152497007e-03	0.000000e+00	5.781293e-02
1.004604804535415e-02	0.000000e+00	5.274878e-02
1.013812393821130e-02	0.000000e+00	4.825111e-02
1.021011054535416e-02	0.000000e+00	4.495835e-02
1.028209715249702e-02	0.000000e+00	4.185983e-02
1.035408375963988e-02	0.000000e+00	3.895554e-02
1.042607036678274e-02	0.000000e+00	3.624548e-02
1.049805697392560e-02	0.000000e+00	3.372965e-02
1.057004358106846e-02	0.000000e+00	3.140805e-02
1.064203018821132e-02	0.000000e+00	2.928068e-02
1.065374893821132e-02	0.000000e+00	2.894336e-02
1.075084715249704e-02	0.000000e+00	2.634448e-02
1.084794536678275e-02	0.000000e+00	2.393981e-02
1.094504358106847e-02	0.000000e+00	2.172933e-02
1.104214179535419e-02	0.000000e+00	1.971306e-02
1.113924000963991e-02	0.000000e+00	1.789099e-02
1.123633822392563e-02	0.000000e+00	1.626311e-02
1.133343643821134e-02	0.000000e+00	1.482944e-02
1.142551233106849e-02	0.000000e+00	1.357540e-02
1.151758822392564e-02	0.000000e+00	1.241132e-02
1.160966411678278e-02	0.000000e+00	1.133720e-02
1.170174000963993e-02	0.000000e+00	1.035304e-02
1.179381590249708e-02	0.000000e+00	9.458842e-03
1.188589179535422e-02	0.000000e+00	8.654607e-03
1.197796768821137e-02	0.000000e+00	7.940333e-03
1.198968643821137e-02	0.000000e+00	7.851629e-03
1.200000000000000e-02	0.000000e+00	7.774219e-03
